surface_form_lemma_link_id	surface_form_id	lemma_id	lemma_subtlex_pos_id
15372	14661	691	744
15373	14662	776	831
15374	14663	2037	2111
15375	14664	1371	1434
15376	14665	383	425
15381	14670	532	579
15383	14671	1169	1229
15384	14672	204	237
15394	14682	691	744
15397	14685	611	663
15398	14686	1066	1123
15400	14688	2098	2173
15407	14695	749	803
15413	14701	462	506
15414	14702	1743	1810
15415	14702	1047	1104
15419	14706	126	153
15422	14709	1108	1166
15423	14710	2686	2768
15426	14712	1076	1133
15428	14714	3168	3252
15430	14716	160	189
15431	14717	2440	2521
15435	14721	1262	1323
15436	14722	668	720
15440	14726	527	574
15446	14732	392	435
15450	14736	394	437
15451	14737	2170	2246
15459	14744	1036	1093
15463	14748	2048	2122
15465	14750	2299	2376
15468	14753	788	843
15482	14766	262	298
15485	14769	760	815
15486	14770	330	371
15487	14771	1206	1266
15488	14772	1579	1646
15489	14773	848	903
15491	14775	1613	1680
15503	14787	2362	2439
15504	14788	79	100
15509	14793	587	639
15512	14796	2501	2582
15520	14804	291	329
15526	14810	113	138
15527	14811	1539	1605
15531	14815	306	345
15535	14818	1791	1860
15537	14820	400	443
15539	14822	1957	2028
15541	14824	1335	1397
15543	14825	1101	1159
15544	14826	399	442
15550	14832	899	954
15553	14835	1032	1089
15558	14840	3151	3235
15564	14846	1766	1834
15566	14848	710	763
15569	14851	511	556
15570	14852	3242	3326
15571	14853	1345	1407
15576	14858	223	256
15579	14861	446	490
15580	14862	2259	2336
15582	14864	1230	1290
15584	14866	794	849
15586	14868	373	415
15587	14869	2038	2112
15588	14870	1998	2069
15591	14873	971	1028
15596	14878	1907	1978
15598	14880	3464	3552
15599	14881	240	274
15600	14882	404	447
15604	14886	537	584
15605	14887	1687	1754
15607	14888	691	744
15608	14889	286	324
15610	14891	504	549
15613	14894	2851	2933
15614	14895	347	388
15615	14896	3752	3842
15621	14902	1371	1434
15623	14904	3128	3212
15630	14911	1153	1212
15633	14914	947	1004
15634	14915	1144	1202
15635	14916	663	715
15640	14921	2626	2708
15650	14931	126	153
15655	14936	125	152
15661	14942	214	247
15664	14945	666	718
15667	14948	372	414
15671	14951	1162	1222
15677	14957	1088	1146
15685	14965	187	219
15686	14966	1724	1791
15688	14967	807	862
15689	14968	1079	1136
15692	14971	1256	1317
15693	14972	3510	3598
15694	14973	3510	3598
15703	14981	1795	1864
15712	14990	3413	3500
15713	14990	3637	3725
15715	14992	707	760
15723	14999	980	1037
15725	15001	391	434
15727	15003	5851	5947
15736	15012	1076	1133
15738	15014	1138	1196
15745	15021	170	200
15749	15025	2926	3008
15750	15025	1177	1237
15755	15030	2437	2518
15757	15032	4154	4245
15760	15035	1746	1813
15764	15039	2205	2282
15765	15040	2542	2623
15772	15047	3168	3252
15781	15056	1071	1128
15784	15059	4060	4151
15785	15060	1460	1526
15786	15061	182	214
15787	15062	3475	3563
15789	15064	2079	2154
15793	15067	836	891
15794	15068	810	865
15795	15069	1577	1644
15796	15070	1399	1462
15797	15071	1399	1462
15801	15075	1207	1267
15802	15076	185	217
15805	15079	911	967
15806	15080	941	998
15809	15082	806	861
15810	15083	371	413
15814	15087	2000	2071
15817	15090	2956	3038
15819	15092	1279	1341
15820	15093	311	351
15823	15096	163	192
15837	15110	888	943
15838	15111	1018	1075
15839	15112	1018	1075
15845	15118	1027	1084
15846	15119	954	1011
15848	15121	2107	2182
15852	15125	1280	1342
15853	15125	804	859
15854	15126	1280	1342
15855	15126	804	859
15857	15128	1372	1435
15858	15129	1600	1667
15863	15134	1574	1641
15865	15136	182	214
15867	15138	1723	1790
15868	15139	3429	3516
15869	15140	1818	1887
15873	15144	1626	1693
15876	15147	441	485
15877	15148	1654	1721
15880	15151	1074	1131
15883	15154	277	313
15884	15155	455	499
15886	15157	1875	1946
15891	15162	1261	1322
15893	15164	31	46
15902	15173	908	964
15904	15175	2626	2708
15906	15177	835	890
15909	15179	3356	3443
15911	15181	1197	1257
15920	15189	1728	1795
15922	15191	455	499
15927	15196	532	579
15928	15197	2741	2823
15929	15197	663	715
15931	15199	1849	1919
15934	15202	2030	2104
15935	15203	980	1037
15937	15205	1538	1604
15939	15206	594	646
15943	15210	1777	1845
15946	15213	315	355
15949	15216	542	590
15953	15220	1161	1221
15955	15222	1875	1946
15956	15223	64	83
15959	15226	2115	2190
15963	15230	124	151
15964	15231	4048	4139
15965	15231	1963	2034
15967	15233	1262	1323
15968	15234	1262	1323
15970	15236	916	972
15973	15239	1297	1359
15977	15243	1693	1760
15978	15244	3566	3654
15980	15246	893	948
15982	15248	466	510
15983	15249	649	701
15986	15252	2134	2209
15987	15253	1493	1559
15990	15256	927	983
15992	15258	428	472
15994	15260	1245	1305
16002	15268	1566	1633
16007	15272	2970	3052
16008	15273	2	2
16013	15278	403	446
16015	15280	2067	2141
16016	15281	330	371
16018	15283	127	154
16022	15287	822	877
16024	15289	275	311
16025	15290	4018	4109
16030	15295	1539	1605
16041	15305	806	861
16048	15312	3402	3489
