surface_form_id	nkjp_frequency	nkjp_frequency_rank	occurrence_pct	per_million
680	12010	1925	0.005154299270	51.542993
681	10923	2151	0.004687794415	46.877944
682	35857	576	0.015388651868	153.886519
684	30961	692	0.013287448768	132.874488
685	12390	1854	0.005317382844	53.173828
686	7586	3275	0.003255663136	32.556631
687	2052	11905	0.000880651299	8.806513
688	3286	7679	0.001410243747	14.102437
689	45912	433	0.019703929067	197.039291
690	28121	777	0.012068613637	120.686136
691	24781	880	0.010635194856	106.351949
692	23191	945	0.009952818849	99.528188
693	26512	812	0.011378083452	113.780835
694	42539	466	0.018256347765	182.563478
696	5333	4755	0.002288749210	22.887492
697	96797	180	0.041542107117	415.421071
698	15852	1399	0.006803160036	68.031600
699	17634	1255	0.007567936164	75.679362
700	15178	1463	0.006513901276	65.139013
701	37364	548	0.016035406989	160.354070
702	11453	2051	0.004915253084	49.152531
703	22609	968	0.009703043481	97.030435
704	21598	1016	0.009269155341	92.691553
705	12015	1924	0.005156445107	51.564451
706	9671	2472	0.004150476956	41.504770
707	31681	671	0.013596449224	135.964492
708	10567	2237	0.004535010857	45.350109
709	19406	1132	0.008328420619	83.284206
710	3301	7649	0.001416681257	14.166813
711	18043	1221	0.007743465590	77.434656
712	23433	936	0.010056677336	100.566773
713	3279	7693	0.001407239576	14.072396
714	28341	768	0.012163030443	121.630304
715	1154	19816	0.000495259064	4.952591
716	7257	3434	0.003114467094	31.144671
717	14832	1501	0.006365409390	63.654094
718	49306	396	0.021160522883	211.605229
719	9566	2505	0.004105414390	41.054144
720	34643	595	0.014867642766	148.676428
722	16584	1331	0.007117310500	71.173105
723	8421	2884	0.003614017831	36.140178
724	1613	14755	0.000692246855	6.922469
725	23701	920	0.010171694172	101.716942
726	16234	1363	0.006967101945	69.671019
727	4715	5401	0.002023523818	20.235238
728	59103	309	0.025365074919	253.650749
729	15885	1393	0.006817322557	68.173226
730	4196	6079	0.001800785990	18.007860
731	15842	1400	0.006798868363	67.988684
732	75069	239	0.032217160027	322.171600
733	37623	540	0.016146561320	161.465613
734	28264	770	0.012129984561	121.299846
735	1445	16265	0.000620146748	6.201467
736	78132	231	0.033531699466	335.316995
737	17707	1248	0.007599265377	75.992654
738	10811	2184	0.004639727678	46.397277
739	18095	1217	0.007765782289	77.657823
740	74169	244	0.031830909457	318.309095
